SiteID,1566321,Site Timezone,-6,Data Timezone,-6,Longitude,-90.3634643555,Latitude,42.9575462341
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2013,1,1,0,30,N/A,346.21,5.86,-10.86,96620,N/A
2013,1,1,1,30,N/A,344.24,5.66,-11.370000000000001,96650,N/A
2013,1,1,2,30,N/A,345.47,5.5,-11.78,96680,N/A
2013,1,1,3,30,N/A,343.04,5.4,-12.14,96690,N/A
2013,1,1,4,30,N/A,340.05,5.98,-12.51,96720,N/A
2013,1,1,5,30,N/A,339.28000000000003,6.19,-12.9,96730,N/A
2013,1,1,6,30,N/A,338.17,5.72,-13.26,96760,N/A
2013,1,1,7,30,N/A,338.28000000000003,5.4,-13.59,96780,N/A
2013,1,1,8,30,N/A,342.16,4.49,-13.8,96780,N/A
2013,1,1,9,30,N/A,336.42,3.8200000000000003,-13.33,96780,N/A
2013,1,1,10,30,N/A,325.73,3.3000000000000003,-12.49,96760,N/A
2013,1,1,11,30,N/A,315.84000000000003,3.21,-11.53,96730,N/A
2013,1,1,12,30,N/A,303.52,3.19,-10.63,96700,N/A
2013,1,1,13,30,N/A,290.95,3.56,-9.9,96660,N/A
2013,1,1,14,30,N/A,278.23,4.15,-9.43,96630,N/A
2013,1,1,15,30,N/A,276.73,4.7700000000000005,-9.33,96610,N/A
2013,1,1,16,30,N/A,273.06,4.53,-9.31,96590,N/A
2013,1,1,17,30,N/A,271.93,5.04,-9.42,96580,N/A
2013,1,1,18,30,N/A,268.83,6.0200000000000005,-9.55,96560,N/A
2013,1,1,19,30,N/A,272.26,6.83,-9.43,96550,N/A
2013,1,1,20,30,N/A,271.41,7.59,-9.22,96530,N/A
2013,1,1,21,30,N/A,269.27,8,-9.200000000000001,96500,N/A
2013,1,1,22,30,N/A,261.89,7.8,-9.11,96470,N/A
2013,1,1,23,30,N/A,259.03000000000003,8.35,-8.91,96450,N/A
2013,1,2,0,30,N/A,253.4,7.7,-8.99,96450,N/A
2013,1,2,1,30,N/A,240.68,7.26,-9.290000000000001,96430,N/A
2013,1,2,2,30,N/A,235.23000000000002,7.5,-9.13,96440,N/A
2013,1,2,3,30,N/A,227.73000000000002,7.61,-9.09,96410,N/A
2013,1,2,4,30,N/A,217.35,7.99,-9.51,96400,N/A
2013,1,2,5,30,N/A,211.54,8.2,-9.86,96380,N/A
2013,1,2,6,30,N/A,204.68,8.38,-10.02,96380,N/A
2013,1,2,7,30,N/A,201.53,8.84,-10,96360,N/A
2013,1,2,8,30,N/A,197.55,8.370000000000001,-10.07,96330,N/A
