SiteID,1745739,Site Timezone,-6,Data Timezone,0,Longitude,-87.6826171875,Latitude,35.2915306091
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2014,1,1,0,30,N/A,168.91,3.7600000000000002,3.77,98070,N/A
2014,1,1,1,30,N/A,170.88,3.54,3.62,98050,N/A
2014,1,1,2,30,N/A,173.52,3.95,3.63,98020,N/A
2014,1,1,3,30,N/A,184.02,5.01,3.36,97990,N/A
2014,1,1,4,30,N/A,184.4,4.97,3.29,97950,N/A
2014,1,1,5,30,N/A,185.41,5.0600000000000005,3.14,97910,N/A
2014,1,1,6,30,N/A,181.38,5.26,2.74,97890,N/A
2014,1,1,7,30,N/A,177.02,6.23,2.85,97890,N/A
2014,1,1,8,30,N/A,175.78,6.49,2.75,97870,N/A
2014,1,1,9,30,N/A,170.39000000000001,6.71,2.25,97830,N/A
2014,1,1,10,30,N/A,169,7.4,1.67,97830,N/A
2014,1,1,11,30,N/A,172.71,8.15,1.72,97800,N/A
2014,1,1,12,30,N/A,169.29,7.76,1.6,97780,N/A
2014,1,1,13,30,N/A,165.64000000000001,7.73,1.33,97750,N/A
2014,1,1,14,30,N/A,163.79,7.5,1.02,97720,N/A
2014,1,1,15,30,N/A,161.23,5.65,1.97,97690,N/A
2014,1,1,16,30,N/A,168.32,5.86,3.98,97620,N/A
2014,1,1,17,30,N/A,176.03,5.41,5.5200000000000005,97550,N/A
2014,1,1,18,30,N/A,178.41,5.22,6.45,97480,N/A
2014,1,1,19,30,N/A,181.25,5.9,7.25,97420,N/A
2014,1,1,20,30,N/A,181.47,5.8100000000000005,7.8100000000000005,97370,N/A
2014,1,1,21,30,N/A,179.93,6.12,8.07,97310,N/A
2014,1,1,22,30,N/A,172.41,7.3500000000000005,7.97,97270,N/A
2014,1,1,23,30,N/A,173.67000000000002,10.93,7.58,97210,N/A
2014,1,2,0,30,N/A,168.26,11.68,7.0600000000000005,97160,N/A
2014,1,2,1,30,N/A,173.04,11.620000000000001,6.95,97120,N/A
2014,1,2,2,30,N/A,171.15,11.48,6.11,97090,N/A
2014,1,2,3,30,N/A,173.98,11.56,5.7700000000000005,97020,N/A
2014,1,2,4,30,N/A,182.85,10.31,5.74,96990,N/A
2014,1,2,5,30,N/A,185.08,9.51,5.49,96910,N/A
2014,1,2,6,30,N/A,200.33,10.55,6.67,96870,N/A
2014,1,2,7,30,N/A,208.57,9.78,7.23,96840,N/A
2014,1,2,8,30,N/A,212.83,7.84,7.61,96760,N/A
2014,1,2,9,30,N/A,209.36,8.15,7.44,96710,N/A
2014,1,2,10,30,N/A,216.76,9.33,7.61,96680,N/A
2014,1,2,11,30,N/A,245.17000000000002,9.28,8.040000000000001,96620,N/A
2014,1,2,12,30,N/A,312.08,10.52,5.54,96650,N/A
2014,1,2,13,30,N/A,325.33,10.08,3.37,96710,N/A
2014,1,2,14,30,N/A,329.87,11.57,1.75,96790,N/A
2014,1,2,15,30,N/A,328.36,11.870000000000001,0.09,96880,N/A
2014,1,2,16,30,N/A,327.84000000000003,13.02,-0.81,96930,N/A
2014,1,2,17,30,N/A,322.37,11.950000000000001,-1.26,97010,N/A
2014,1,2,18,30,N/A,321.23,12.48,-1.5,97090,N/A
2014,1,2,19,30,N/A,322.11,12.81,-2.05,97170,N/A
2014,1,2,20,30,N/A,323.61,11.81,-1.99,97240,N/A
2014,1,2,21,30,N/A,322.66,12.52,-2.5500000000000003,97310,N/A
2014,1,2,22,30,N/A,324.49,11.89,-3.25,97410,N/A
2014,1,2,23,30,N/A,325.99,13.22,-4.13,97500,N/A
2014,1,3,0,30,N/A,337,13.040000000000001,-5.12,97600,N/A
2014,1,3,1,30,N/A,333.42,13.36,-5.9,97670,N/A
2014,1,3,2,30,N/A,338.41,11.11,-6.19,97750,N/A
2014,1,3,3,30,N/A,348.35,11.98,-6.57,97800,N/A
2014,1,3,4,30,N/A,352.41,12.040000000000001,-6.87,97850,N/A
2014,1,3,5,30,N/A,351.52,10.41,-7,97930,N/A
2014,1,3,6,30,N/A,357.83,10.3,-7.12,98000,N/A
2014,1,3,7,30,N/A,8.97,9.1,-7.54,98070,N/A
2014,1,3,8,30,N/A,4.5200000000000005,10.15,-7.83,98140,N/A
2014,1,3,9,30,N/A,4.87,7.59,-8,98180,N/A
2014,1,3,10,30,N/A,9.52,5.51,-8.17,98220,N/A
